iter	MAE
153	0.2681383339
154	0.2681166014
155	0.2680727233
156	0.2680475721
157	0.2680284964
158	0.2679951895
159	0.2679756558
160	0.2679440138
161	0.2679176984
162	0.2679033891
163	0.2678728879
164	0.2678203011
165	0.2677965238
166	0.2677818687
167	0.2677704757
168	0.2677580611
169	0.2677442672
170	0.2677408869
171	0.2677214265
172	0.2676898337
173	0.2676785789
174	0.2676307474
175	0.2675899676
176	0.267571614
177	0.2675569615
178	0.2675369657
179	0.2674624403
180	0.2674057954
181	0.2673579809
182	0.2673285855
183	0.2673147633
184	0.267261248
185	0.2672447269
186	0.2671816455
187	0.2671687057
188	0.2671593737
189	0.267148354
190	0.2671257227
191	0.2671048932
192	0.2670612736
193	0.2670474655
194	0.2670100004
195	0.2669911577
196	0.2669738207
197	0.2669237369
198	0.2669151231
199	0.2668918953
200	0.2668689025
201	0.2668529904
202	0.2668227238
203	0.2668046228
204	0.2667672856
205	0.2667407837
206	0.2667205856
207	0.2666813922
208	0.2665979586
209	0.2665767794
210	0.2665617195
211	0.2665502192
212	0.2665491355
213	0.2665424032
214	0.2664939536
215	0.266486164
216	0.2664652423
217	0.266464285
218	0.2664384086
219	0.2663718648
220	0.2663436606
221	0.2663299535
222	0.2663235073
223	0.2663018475
224	0.2662303372
225	0.2662244298
226	0.2661906045
227	0.266168924
228	0.2661525506
229	0.266145886
230	0.2661142751
231	0.2660916019
232	0.2660829416
233	0.2660628913
234	0.2659995675
235	0.2659805738
236	0.265958954
237	0.2659446298
238	0.2659250581
239	0.2659031963
240	0.2658858188
241	0.2658470341
242	0.2657665977
243	0.2657633043
244	0.2657234616
245	0.2656775483
246	0.2656546231
247	0.2656512593
248	0.2656246791
249	0.2655941302
250	0.2655784488
251	0.2655752515
252	0.2655476283
253	0.2655198991
254	0.2655113891
255	0.2654892595
256	0.2654834989
257	0.2654520736
258	0.2654259667
259	0.2653926527
260	0.2653856339
261	0.2653749097
262	0.265352031
263	0.2653147846
264	0.2652874835
265	0.2652655134
266	0.2652385794
267	0.2652179627
268	0.2652068007
269	0.2651681214
270	0.2651425347
271	0.2651248964
272	0.2650893546
273	0.2650539288
274	0.2650179315
275	0.2650039978
276	0.2649949479
277	0.2649705903
278	0.2649183608
279	0.2648994273
280	0.2648352914
281	0.2648009596
282	0.2647971957
283	0.2647915503
284	0.2647831387
285	0.2647567295
286	0.2647235772
287	0.2647107877
288	0.2647034118
289	0.2646846623
290	0.26464312
291	0.2646298242
292	0.2646120767
293	0.2645900291
294	0.2645525896
295	0.2645282743
296	0.2645081261
297	0.2644795498
298	0.2644673665
299	0.2644510378
300	0.2644455916
301	0.2644287211
302	0.2644232013
303	0.2643816591
304	0.2643515186
305	0.2643334937
306	0.2643197583
307	0.2642994705
308	0.2642904099
309	0.2642715827
310	0.264263359
311	0.2642549049
312	0.2642516007
313	0.2642452823
314	0.2642390583
315	0.2642157171
316	0.2642009936
317	0.2641719678
318	0.2641361225
319	0.2641205574
320	0.2641139018
321	0.2640935198
322	0.2640674861
323	0.2640526983
324	0.2640275545
325	0.2640055775
326	0.2639964418
327	0.2639887019
328	0.2639726473
329	0.2639660709
330	0.2639630044
331	0.2639504806
332	0.2639350792
333	0.2639146791
334	0.2638870321
335	0.2638603698
336	0.2638365737
337	0.2638224171
338	0.2637842022
339	0.2637584502
340	0.2637260873
341	0.263695764
342	0.2636864663
343	0.2636768233
344	0.2636677108
345	0.263654701
346	0.2636546598
347	0.2636346969
348	0.2636110923
349	0.263584187
350	0.2635674021
351	0.2635615184
352	0.2635488062
353	0.2635447705
354	0.2635406317
355	0.2635335462
356	0.263514758
357	0.2634977497
358	0.2634977232
359	0.2634836117
360	0.263469664
361	0.2634696391
362	0.2634659488
363	0.2634544729
364	0.2634368174
365	0.2634274984
366	0.2634217305
367	0.2633933618
368	0.2633851073
369	0.2633575562
370	0.263334707
371	0.2633158651
372	0.2632976408
373	0.2632816956
374	0.2632713625
375	0.2632551545
376	0.2632470582
377	0.2632394695
378	0.2632265408
379	0.2632069869
380	0.2632031598
381	0.2631712529
382	0.2631655659
383	0.2631536614
384	0.2631368259
385	0.2631198557
386	0.2631023729
387	0.2630658864
388	0.2630406554
389	0.2630383711
390	0.2630128983
391	0.2629888968
392	0.2629538286
393	0.2629336016
394	0.2629192315
395	0.2629163843
396	0.2629108716
397	0.2629033096
398	0.2628751342
399	0.2628527477
400	0.2628436506
401	0.2628154023
402	0.2628039394
403	0.2627995868
404	0.2627723667
405	0.2627698747
406	0.2627523313
407	0.2627375819
408	0.2627268727
409	0.2627152077
410	0.2627123548
411	0.2626964741
412	0.2626916542
413	0.2626799754
414	0.2626625078
415	0.262645842
416	0.2626315471
417	0.26261911
418	0.2626139247
419	0.2625963969
420	0.2625862163
421	0.2625638407
422	0.2625504993
423	0.2625248176
424	0.2625050202
425	0.2624913958
426	0.2624683397
427	0.262452824
428	0.2624344044
429	0.262421377
430	0.2624167317
431	0.2624084888
432	0.262406228
433	0.2623968526
434	0.2623877359
435	0.2623731003
436	0.2623611889
437	0.2623466522
438	0.2623315958
439	0.2623132693
440	0.262308408
441	0.2623027157
442	0.2622748904
443	0.2622570449
444	0.2622271247
445	0.2622018812
446	0.2621789154
447	0.2621577869
448	0.2621400936
449	0.2621175811
450	0.2621001129
451	0.2620728203
452	0.2620392308
453	0.2620171514
454	0.2619995769
455	0.2619913134
456	0.2619592278
457	0.2619343137
458	0.261920167
459	0.2619029467
460	0.2618799311
461	0.2618647996
462	0.2618514628
463	0.2618274235
464	0.2617943044
465	0.2617850602
466	0.261775152
467	0.2617595786
468	0.2617440333
469	0.2617162307
470	0.2616958911
471	0.2616703561
472	0.2616580243
473	0.2616368783
474	0.2616260721
475	0.2616191191
476	0.2615934583
477	0.2615840779
478	0.2615711066
479	0.261553757
480	0.261544723
481	0.2615341028
482	0.2615154126
483	0.2615043785
484	0.2614974027
485	0.2614840389
486	0.2614656121
487	0.2614393829
488	0.2614282498
489	0.2614159861
490	0.2614056991
491	0.2613986498
492	0.2613937743
493	0.2613883071
494	0.2613828785
495	0.26136949
496	0.2613498034
497	0.2613332867
498	0.2613044708
499	0.2612754975
500	0.2612556336
501	0.261247735
502	0.2612014787
503	0.261185511
504	0.2611817841
505	0.2611754318
506	0.2611633033
507	0.2611477278
508	0.2611251684
509	0.261118507
510	0.2611148241
511	0.2611053912
512	0.2610804476
513	0.2610769462
514	0.2610583905
515	0.2610549511
516	0.2610423119
517	0.2610332841
518	0.2610216518
519	0.2610144949
520	0.2610092164
521	0.260987432
522	0.2609613006
523	0.2609540677
524	0.2609386873
525	0.2609302209
526	0.260921832
527	0.2609147383
528	0.2609113216
529	0.2609009606
530	0.2608846962
531	0.260876901
532	0.2608677509
533	0.2608582093
534	0.2608490937
535	0.2608416761
536	0.2607930764
537	0.2607830756
538	0.260759974
539	0.2607392216
540	0.2607224027
541	0.2607141579
542	0.2607030844
543	0.2606684912
544	0.2606583139
545	0.2606490081
546	0.2606220394
547	0.2605890078
548	0.260559444
549	0.2605515531
550	0.2605399759
551	0.2605085546
552	0.2604792017
553	0.2604756443
554	0.2604606871
555	0.260442078
556	0.2604220229
557	0.2604133404
558	0.2603966068
559	0.2603805413
560	0.2603734058
561	0.2603674375
562	0.26036132
563	0.2603512347
564	0.2603413693
565	0.2603347417
566	0.2603192689
567	0.2603149166
568	0.2603082062
569	0.26029457
570	0.2602824954
571	0.2602774789
572	0.2602576338
573	0.2602528561
574	0.2602451918
575	0.260242179
576	0.2602142915
577	0.2602016129
578	0.2601959993
579	0.2601645645
580	0.2601578234
581	0.2601446901
582	0.2601331576
583	0.2601295792
584	0.2600993232
585	0.2600668444
586	0.2600530468
587	0.2600234914
588	0.2600191159
589	0.259995622
590	0.2599896487
591	0.2599710952
592	0.2599489991
593	0.2599245279
594	0.2599132526
595	0.2598984712
596	0.2598882669
597	0.2598596321
598	0.2598409396
599	0.2598277971
600	0.2598197889
601	0.2597996954
602	0.2597907326
603	0.259781209
604	0.2597677433
605	0.2597654312
606	0.2597544633
607	0.2597415327
608	0.259723844
609	0.2597136231
610	0.259705362
611	0.2596577435
612	0.2596495463
613	0.2596411355
614	0.2596335965
615	0.2596109665
616	0.2596040072
617	0.2595966129
618	0.2595892487
619	0.2595712138
620	0.25954641
621	0.2595373432
622	0.2595255454
623	0.259513188
624	0.2595057773
625	0.2594804946
626	0.2594518639
627	0.2594348923
628	0.2594315542
629	0.2594157735
630	0.2594055632
631	0.2593874282
632	0.2593770112
633	0.2593733378
634	0.2593486786
635	0.2593449565
636	0.2593390725
637	0.2593136946
638	0.2593029886
639	0.2592909242
640	0.2592880107
641	0.2592668216
642	0.2592607278
643	0.2592537754
644	0.2592460016
645	0.2592098594
646	0.2591907748
647	0.2591735822
648	0.2591693167
649	0.2591606587
650	0.2591446773
651	0.2591118014
652	0.2590938765
653	0.259074574
654	0.2590536871
655	0.2590497651
656	0.2590404103
657	0.2590177138
658	0.2590080697
659	0.258986713
660	0.2589755453
661	0.2589610621
662	0.2589515474
663	0.2589366416
664	0.2589147352
665	0.2589020465
666	0.2588857705
667	0.2588719405
668	0.2588615122
669	0.2588540874
670	0.2588394382
671	0.2588267198
672	0.2588192613
673	0.2588109083
674	0.2587948113
675	0.2587764186
676	0.2587708459
677	0.2587681063
678	0.2587601802
679	0.2587525121
680	0.2587359894
681	0.2587241161
682	0.2587223045
683	0.2587128371
684	0.2587089365
685	0.2587025334
686	0.2586985845
687	0.2586780689
688	0.2586709367
689	0.2586658604
690	0.2586588958
691	0.2586511515
692	0.2586437846
693	0.258622269
694	0.2586120598
695	0.2585878364
696	0.2585529778
697	0.2585325138
698	0.2585096343
699	0.2584822656
700	0.2584585616
701	0.2584397647
702	0.2584192719
703	0.2584093451
704	0.2583913518
705	0.2583819401
706	0.2583781956
707	0.2583592974
708	0.2583497012
709	0.2583417413
710	0.2583319441
711	0.2583080062
712	0.2582846754
713	0.2582729479
714	0.2582664354
715	0.2582519512
716	0.2582386516
717	0.2582250968
718	0.2582040918
719	0.2581810646
720	0.2581735385
721	0.2581568757
722	0.2581463436
723	0.258131957
724	0.2581263609
725	0.2581092412
726	0.258106774
727	0.2580735785
728	0.2580626253
729	0.2580509014
730	0.2580477114
731	0.2580283513
732	0.2580086319
733	0.2580000661
734	0.2579855117
735	0.2579823695
736	0.2579716841
737	0.2579629604
738	0.2579560038
739	0.257951257
740	0.2579403354
741	0.2579261696
742	0.2579219748
743	0.2579065031
744	0.2578981377
745	0.2578719028
746	0.2578462633
747	0.2578328762
748	0.2578145576
749	0.2577953667
750	0.2577893895
751	0.2577822161
752	0.2577743037
753	0.2577724916
754	0.2577620571
755	0.2577508927
756	0.2577327357
757	0.2577182836
758	0.2577132522
759	0.2577104408
760	0.2576932732
761	0.257681961
762	0.2576714024
763	0.2576526116
764	0.2576445344
765	0.2576381323
766	0.2576302423
767	0.2576147437
768	0.2576074079
769	0.2575997663
770	0.257585979
771	0.2575747803
772	0.2575587112
773	0.2575473359
774	0.2575274003
775	0.2575225874
776	0.2575186983
777	0.2575117191
778	0.2575024578
779	0.25746355
780	0.2574481128
781	0.2574383171
782	0.2574322889
783	0.2574282151
784	0.2574231527
785	0.2574191304
786	0.2574084087
787	0.2573983765
788	0.2573818375
789	0.2573754281
790	0.2573710988
791	0.2573676976
792	0.2573562749
793	0.2573349167
794	0.2573203833
795	0.2573099937
796	0.2572951425
797	0.2572858601
798	0.2572799529
799	0.2572767769
800	0.257271233
801	0.2572630583
802	0.2572543307
803	0.2572483354
804	0.2572423824
805	0.2572294679
806	0.2572177804
807	0.2572003685
808	0.2571871668
809	0.2571833334
810	0.2571777972
811	0.2571710559
812	0.2571613698
813	0.2571532228
814	0.2571400775
815	0.2570924563
816	0.2570844281
817	0.2570789893
818	0.2570760018
819	0.2570736918
820	0.2570501262
821	0.2570378063
822	0.2570211652
823	0.257005965
824	0.2569901353
825	0.2569853061
826	0.2569756334
827	0.2569663577
828	0.2569585231
829	0.2569543564
830	0.2569442499
831	0.2569320976
832	0.2568861913
833	0.2568717021
834	0.2568258583
835	0.2568174295
836	0.2567991088
837	0.2567938424
838	0.2567920269
839	0.25676514
840	0.2567536311
841	0.2567463859
842	0.256739386
843	0.2567231343
844	0.2567095041
845	0.2566966538
846	0.2566882317
847	0.256675823
848	0.2566704273
849	0.2566477979
850	0.2566381935
851	0.2565943975
852	0.2565537585
853	0.2565156872
854	0.2565015982
855	0.2564872029
856	0.2564809747
857	0.2564691786
858	0.2564630736
859	0.2564506939
860	0.2564422447
861	0.2564333824
862	0.2564237859
863	0.2564144445
864	0.2563749115
865	0.2563665332
866	0.2563606226
867	0.2563549089
868	0.2563181771
869	0.2562926899
870	0.2562798752
871	0.2562726155
872	0.2562583522
873	0.2562550553
874	0.2562419345
875	0.2562175263
876	0.2562017079
877	0.2561929423
878	0.2561587438
879	0.2561554156
880	0.2561453989
881	0.2561324154
882	0.2560960759
883	0.256090526
884	0.2560773608
885	0.2560426609
886	0.256008962
887	0.2559977486
888	0.2559918501
889	0.2559862896
890	0.2559798405
891	0.2559538068
892	0.2559288771
893	0.2559000142
894	0.2558902563
895	0.2558521169
896	0.255832305
897	0.2558290898
898	0.2558121793
899	0.2557828601
900	0.2557460497
901	0.2557357446
902	0.2557246927
903	0.25571519
904	0.2557065151
905	0.255691697
906	0.2556592755
907	0.2556529737
908	0.25564817
909	0.2556462284
910	0.2556338626
911	0.2556299335
912	0.2556053924
913	0.255590074
914	0.2555649116
915	0.255538865
916	0.255526115
917	0.2555058352
918	0.2554900135
919	0.2554820745
920	0.255470142
921	0.2554627033
922	0.2554515449
923	0.2554395231
924	0.2554242746
925	0.2554122093
926	0.2554092085
927	0.2554062339
928	0.2553916218
929	0.2553846863
930	0.2553828604
931	0.2553758727
932	0.2553673387
933	0.2553588341
934	0.2553557847
935	0.2553477882
936	0.25532339
937	0.2553071513
938	0.2553048969
939	0.2552999144
940	0.2552936019
941	0.2552838879
942	0.2552538719
943	0.2552406195
944	0.2552223523
945	0.2552139964
946	0.2552111629
947	0.2551923009
948	0.255187014
949	0.255167017
950	0.2551563982
951	0.255142139
952	0.2551279039
953	0.2551181004
954	0.2551153414
955	0.2551048737
956	0.2550776032
957	0.2550651518
958	0.2550616124
959	0.2550505942
960	0.2550479269
961	0.2550330854
962	0.255029568
963	0.2550220077
964	0.2550181101
965	0.2550096165
966	0.2549985667
967	0.2549883061
968	0.2549859058
969	0.2549838728
970	0.2549714407
971	0.2549589003
972	0.2549419633
973	0.2549218254
974	0.2549173788
975	0.2549118898
976	0.2549055563
977	0.2548950864
978	0.2548867895
979	0.2548796513
980	0.2548714536
981	0.2548664321
982	0.2548460267
983	0.254819384
984	0.2548139496
985	0.2548088776
986	0.2547987341
987	0.2547960419
988	0.2547859806
989	0.254781484
990	0.254778721
991	0.2547650197
992	0.2547619909
993	0.2547528282
994	0.2547370653
995	0.2547306252
996	0.2547225959
997	0.2547128238
998	0.2547054275
999	0.2546972027
